,cbsa_code,cbsa_name,city,state,cluster_k6,centroid_lat,centroid_lon,MedianHomeValue_B25077,MedianGrossRent_B25064,MedianHouseholdIncome_B19013,affordability_score,job_growth_score,safety_score,education_score,health_score,walkability_score,diversity_score,urban_score,weather_warmth_score,weather_mildness_score
802,43900,"Spartanburg, SC Metro Area",Spartanburg,SC,3,34.83462,-81.842401,207900,991,62440,58.85427191867305,88.51920790451138,71.11731442332557,33.95689213063717,47.0816339920688,16.48027733019201,72.615006265926,30.76783172602181,68.28706096823898,76.03595195022055
803,43940,"Spearfish, SD Micro Area",Spearfish,SD,1,44.348514,-103.806362,310800,923,66766,55.600657254384345,74.41746462993858,65.15995942967201,65.90918606073129,63.426717318692134,32.97893766988592,9.040805129183648,8.832550975784082,10.385986518499777,24.575954688993534
804,43980,"Spencer, IA Micro Area",Spencer,IA,1,43.081224,-95.149875,171500,798,64082,70.87216469654325,56.10391354904117,50.82883184128738,38.28086161443515,58.508078973994486,26.053267979693956,0.0,10.99721747084592,10.651393555849078,12.475992571691688
805,44020,"Spirit Lake, IA Micro Area",Spirit Lake,IA,1,43.389611,-95.196057,251600,930,74570,66.21731213013084,61.95661532756063,54.84261778125442,59.80879149358388,64.31999618936834,33.576455362546255,0.0,13.802137491947885,10.023504515010496,15.234432443367531
806,44060,"Spokane-Spokane Valley, WA Metro Area",Spokane-Spokane Valley,WA,4,48.091618,-117.663472,365700,1187,72836,44.75244789216188,56.687741457929995,32.672623093346424,56.1254971904739,65.53904330849377,94.20022569515169,31.953839043999263,54.455313321399686,10.600790649170609,47.260716728814565
807,44100,"Springfield, IL Metro Area",Springfield,IL,0,39.828621,-89.696067,171100,949,74580,72.57759355756909,35.3541273235842,3.2907979695992466,67.69419107274774,62.37021110010633,82.8391442389866,42.67615908461588,43.80268232096654,40.624832195051034,42.701266931822104
808,44140,"Springfield, MA Metro Area",Springfield,MA,5,42.136198,-72.635648,276300,1105,70535,54.20326825153828,9.939298173709998,1.4210854715202004e-14,48.18942555481106,43.20664176709341,87.904945798925,75.82651692463934,81.97287138204783,24.413316204441198,43.44971217261879
809,44180,"Springfield, MO Metro Area",Springfield,MO,5,37.36087,-93.180262,213400,927,61488,60.20203795614003,64.36466738897352,24.34987939435122,51.6322858179542,48.76702528362414,33.7477753739322,16.31883966966157,34.0926027856307,46.59494134991051,56.27777611811405
810,44220,"Springfield, OH Metro Area",Springfield,OH,2,39.917032,-83.783676,155900,840,60846,68.24081182723324,35.05615816891591,1.4210854715202004e-14,12.5275760444466,23.00672043266399,21.972658855262477,33.12580668934153,54.585077851473905,29.563451904025587,48.58007053111202
811,44260,"Starkville, MS Micro Area",Starkville,MS,5,33.514617,-89.077508,184200,857,46930,55.808733840578114,53.658174796982756,100.0,87.93347671003926,66.17198105105915,10.589189878703571,79.56391144249437,10.420648978328817,76.54462764588534,76.69356421896725
812,44300,"State College, PA Metro Area",State College,PA,0,40.909322,-77.847667,308100,1181,72748,50.00725672115735,36.01099354530714,89.89002501673178,100.0,60.078290488989225,95.42379975443208,29.431488392110982,61.941556539536684,26.852582409569493,34.013859490136376
813,44340,"Statesboro, GA Micro Area",Statesboro,GA,5,32.351704,-81.775036,181500,948,56172,58.32612858945661,70.49065999731894,64.16622113349308,47.5367272894329,65.44938811915043,18.86937758972243,79.76266514098765,34.3263707995749,87.58948451034888,83.14504992152615
814,44420,"Staunton-Stuarts Draft, VA Metro Area",Staunton-Stuarts Draft,VA,1,38.160958,-79.127632,264400,1013,70949,59.183166734252715,64.40033495374313,80.98572388428343,38.717901787119935,46.265431002431725,14.623437790132211,27.587238472459997,19.91733589654742,41.02965537309085,52.99522488738928
